#DataThief /Users/shugo/Downloads/HPlimit.png
# DAMIC  eV, chi
1.3014, 5.4866e-11
1.3025, 5.4692e-11
1.3035, 5.4518e-11
1.3035, 5.4344e-11
1.3035, 5.4171e-11
1.3045, 5.3999e-11
1.3045, 5.3827e-11
1.3054, 5.3656e-11
1.3054, 5.3485e-11
1.3054, 5.3315e-11
1.3064, 5.3146e-11
1.3064, 5.2976e-11
1.3064, 5.2808e-11
1.3074, 5.264e-11
1.3074, 5.2472e-11
1.3084, 5.2306e-11
1.3084, 5.2139e-11
1.3084, 5.1973e-11
1.3093, 5.1808e-11
1.3093, 5.1643e-11
1.3093, 5.1478e-11
1.3103, 5.1315e-11
1.3103, 5.1151e-11
1.3113, 5.0989e-11
1.3113, 5.0827e-11
1.3113, 5.0665e-11
1.3123, 5.0504e-11
1.3123, 5.0343e-11
1.3123, 5.0183e-11
1.3132, 5.0023e-11
1.3132, 4.9864e-11
1.3142, 4.9705e-11
1.3142, 4.9547e-11
1.3142, 4.9389e-11
1.3152, 4.9232e-11
1.3152, 4.9076e-11
1.3162, 4.892e-11
1.3162, 4.8764e-11
1.3162, 4.8609e-11
1.3172, 4.8454e-11
1.3172, 4.83e-11
1.3172, 4.8146e-11
1.3182, 4.7993e-11
1.3182, 4.784e-11
1.3191, 4.7688e-11
1.3191, 4.7537e-11
1.3191, 4.7385e-11
1.3201, 4.7235e-11
1.3201, 4.7084e-11
1.3201, 4.6934e-11
1.3211, 4.6785e-11
1.3211, 4.6636e-11
1.3221, 4.6488e-11
1.3221, 4.634e-11
1.3221, 4.6192e-11
1.3231, 4.6046e-11
1.3231, 4.5899e-11
1.3241, 4.5753e-11
1.3241, 4.5607e-11
1.3241, 4.5462e-11
1.3251, 4.5318e-11
1.3251, 4.5174e-11
1.3251, 4.503e-11
1.326, 4.4887e-11
1.326, 4.4744e-11
1.327, 4.4602e-11
1.327, 4.4459e-11
1.327, 4.4318e-11
1.328, 4.4177e-11
1.328, 4.4036e-11
1.328, 4.3896e-11
1.329, 4.3757e-11
1.329, 4.3617e-11
1.33, 4.3479e-11
1.33, 4.334e-11
1.33, 4.3202e-11
1.331, 4.3065e-11
1.331, 4.2928e-11
1.332, 4.2792e-11
1.332, 4.2655e-11
1.332, 4.2519e-11
1.333, 4.2384e-11
1.333, 4.2249e-11
1.333, 4.2115e-11
1.334, 4.1981e-11
1.334, 4.1847e-11
1.335, 4.1714e-11
1.335, 4.1582e-11
1.335, 4.1449e-11
1.336, 4.1318e-11
1.336, 4.1186e-11
1.336, 4.1055e-11
1.337, 4.0924e-11
1.337, 4.0794e-11
1.338, 4.0664e-11
1.338, 4.0535e-11
1.338, 4.0406e-11
1.339, 4.0277e-11
1.339, 4.0149e-11
1.34, 4.0022e-11
1.34, 3.9894e-11
1.34, 3.9767e-11
1.341, 3.9641e-11
1.341, 3.9515e-11
1.341, 3.9389e-11
1.342, 3.9264e-11
1.342, 3.9139e-11
1.343, 3.9014e-11
1.343, 3.889e-11
1.343, 3.8766e-11
1.3439, 3.8643e-11
1.3439, 3.852e-11
1.3439, 3.8397e-11
1.345, 3.8275e-11
1.345, 3.8153e-11
1.346, 3.8032e-11
1.346, 3.7911e-11
1.346, 3.779e-11
1.347, 3.767e-11
1.347, 3.755e-11
1.347, 3.7431e-11
1.3479, 3.7312e-11
1.3479, 3.7193e-11
1.349, 3.7075e-11
1.349, 3.6957e-11
1.349, 3.6839e-11
1.35, 3.6722e-11
1.35, 3.6605e-11
1.351, 3.6489e-11
1.351, 3.6373e-11
1.351, 3.6257e-11
1.3519, 3.6142e-11
1.3519, 3.6027e-11
1.3519, 3.5912e-11
1.353, 3.5798e-11
1.353, 3.5684e-11
1.354, 3.557e-11
1.354, 3.5457e-11
1.354, 3.5344e-11
1.3551, 3.5232e-11
1.3551, 3.512e-11
1.3551, 3.5008e-11
1.3561, 3.4897e-11
1.3561, 3.4785e-11
1.3571, 3.4675e-11
1.3571, 3.4565e-11
1.3571, 3.4454e-11
1.358, 3.4345e-11
1.358, 3.4236e-11
1.3591, 3.4127e-11
1.3591, 3.4018e-11
1.3591, 3.391e-11
1.3601, 3.3802e-11
1.3601, 3.3695e-11
1.3601, 3.3587e-11
1.3611, 3.3481e-11
1.3611, 3.3374e-11
1.3622, 3.3268e-11
1.3622, 3.3162e-11
1.3622, 3.3056e-11
1.3632, 3.2951e-11
1.3632, 3.2846e-11
1.3632, 3.2742e-11
1.3642, 3.2638e-11
1.3642, 3.2534e-11
1.3652, 3.243e-11
1.3652, 3.2327e-11
1.3652, 3.2224e-11
1.3662, 3.2122e-11
1.3662, 3.202e-11
1.3672, 3.1918e-11
